followers,engagement_rate,past_interactions,content_sentiment,posting_hour,account_age_days,num_hashtags,has_media,is_reply,impressions,is_viral
531,0.0601,20,0.2737,8,491,0,1,1,253,0
2746,0.043,124,0.1504,9,2781,1,1,0,5289,1
3064,0.0392,77,0.3808,18,387,0,0,1,1128,0
499,0.055,30,0.2581,9,1387,6,1,1,142,0
51968,0.0379,2825,0.0086,19,694,2,0,0,31693,0
4242,0.0758,223,0.3697,20,215,2,1,0,10528,1
211,0.0567,15,0.4773,19,161,0,0,0,286,0
5894,0.034,104,0.4651,18,316,5,1,0,4029,0
312,0.0597,16,0.3416,12,1794,1,0,0,293,0
7455,0.0236,107,0.4022,20,95,3,0,0,22888,1
14551,0.0407,505,-0.1414,8,928,3,0,1,2910,0
412,0.0561,15,0.2367,16,851,3,0,0,173,0
10240,0.051,456,-0.2845,10,123,3,1,0,8173,0
3800,0.0568,197,0.4116,8,299,1,1,0,1509,0
7940,0.039,248,0.4431,10,299,3,1,0,11968,0
54952,0.0348,2214,0.2518,11,701,1,0,0,33012,0
1162,0.0441,72,-0.1544,8,2882,1,1,0,985,0
465,0.0441,18,0.2458,9,1948,2,1,0,834,0
364,0.0595,14,0.4307,17,463,5,0,1,49,0
416,0.0431,13,0.4199,20,290,1,1,0,580,0
1573,0.0464,98,0.0847,20,139,0,1,0,1815,0
3341,0.0376,134,0.1258,10,455,1,0,0,5615,0
2975,0.0535,152,-0.0891,20,270,1,0,0,1534,0
8013,0.0621,323,-0.1129,10,641,6,1,0,19988,1
1850,0.0369,64,0.5668,16,666,2,0,0,877,0
24744,0.021,404,0.6882,7,413,2,1,0,23834,0
1122,0.0507,82,0.3747,17,422,0,1,0,842,0
241905,0.0306,10235,0.275,7,332,4,1,0,54212,0
5575,0.0477,155,0.5228,7,398,4,0,0,6540,0
386,0.0517,20,-0.4712,18,2795,4,0,0,297,0
263,0.0557,10,0.5821,10,1116,3,1,1,241,0
4308,0.0502,196,0.2308,8,1131,4,0,0,2182,0
1209,0.062,103,0.4384,9,1829,1,1,0,1609,0
6536,0.0253,169,0.2174,16,1674,3,0,1,668,0
4237,0.0429,151,0.6371,17,2764,4,1,0,4235,0
1585,0.0527,59,-0.1948,19,1198,1,0,0,1598,0
393,0.0469,23,0.4516,10,816,1,1,0,511,0
118,0.0782,10,0.7244,18,368,2,0,0,155,0
809,0.0469,36,-0.1309,18,291,2,1,0,678,0
8446,0.0434,263,-0.5021,9,1607,2,1,0,10390,0
2658,0.054,119,0.6533,10,595,1,0,1,1557,0
192,0.053,14,-0.6798,10,170,2,0,0,212,0
2469,0.0303,76,-0.1294,20,82,1,0,0,573,0
3617,0.0429,139,0.2934,18,5000,2,1,0,7949,1
368,0.0667,25,0.5337,17,248,2,1,0,409,0
2384,0.0455,138,-0.0887,16,334,2,0,1,243,0
2007,0.0411,69,0.2003,16,2271,4,1,0,2343,0
231,0.0675,10,0.3016,14,198,3,0,0,86,0
3442,0.0441,164,0.5756,18,1131,1,1,0,4438,0
4961,0.0409,236,0.0822,15,4113,4,0,1,1035,0
12701,0.0437,673,0.4753,20,5000,0,1,0,10497,0
12050,0.0501,834,0.3847,9,425,1,0,1,4294,0
151,0.0837,11,0.1999,20,657,2,0,0,219,0
334,0.065,12,0.7249,19,447,2,0,1,77,0
4569,0.0579,385,0.3576,14,653,4,0,0,2064,0
4558,0.0412,175,-0.1434,16,2436,1,1,0,1395,0
4569,0.036,184,0.5628,8,164,1,0,1,1883,0
1857824,0.0229,49584,0.2823,8,1271,1,0,0,698157,0
5052,0.047,248,0.2606,11,547,3,0,0,9343,1
13960,0.031,305,-0.3085,9,2613,6,0,1,3328,0
10068,0.0414,522,0.4118,17,2478,3,1,1,2377,0
5840,0.0493,375,0.7188,8,442,2,0,0,3673,0
1025,0.0559,60,0.2429,20,595,3,0,0,1286,0
7087,0.0496,347,0.0573,11,1624,2,1,0,19062,1
449,0.0585,16,0.3406,11,1778,1,0,0,495,0
1180,0.0466,32,0.8965,17,56,2,1,1,512,0
754,0.0484,30,0.5176,19,1618,0,1,0,735,0
2095,0.0374,63,0.3074,8,3451,2,1,0,1923,0
116586,0.0512,8674,0.0222,8,858,1,0,0,22060,0
62,0.0636,5,-0.0178,17,1720,1,1,0,64,0
6218,0.0428,308,0.4762,11,2389,1,1,0,11306,1
99,0.0523,5,-0.1171,19,830,1,1,0,409,1
773,0.0828,42,0.6421,10,1501,0,1,1,504,0
12837,0.0314,596,0.7124,15,673,2,0,0,3547,0
2029,0.0452,80,0.5886,7,631,2,1,0,3348,0
259,0.0619,9,0.1502,20,343,3,0,1,48,0
498,0.0612,30,0.4315,13,790,3,1,0,477,0
6144,0.0547,461,0.3647,20,4389,3,1,0,13949,1
485,0.0733,49,0.6859,19,269,3,1,0,569,0
2669,0.0535,72,0.3561,19,1232,3,0,0,2451,0
1962,0.0391,106,-0.0745,11,916,3,1,0,1904,0
559,0.0521,22,-0.3005,7,2906,3,1,0,892,0
85742,0.0376,1739,0.5454,9,3508,4,0,0,25247,0
5659,0.0661,504,0.2272,18,263,0,1,0,7228,0
50,0.0503,3,0.3841,6,374,0,1,1,11,0
2529,0.0607,168,0.0265,19,395,1,1,0,4614,1
549,0.0566,33,-0.4058,8,409,1,1,1,200,0
8386,0.0522,575,0.4074,9,446,3,1,0,9856,0
434,0.0547,30,0.6629,18,941,2,1,0,507,0
1470,0.0424,86,0.2477,18,283,5,0,0,1336,0
4487,0.0539,254,0.4462,10,326,3,0,0,3325,0
8590,0.0503,634,0.2026,12,301,1,0,0,3550,0
208,0.0684,21,0.573,10,1088,0,1,0,236,0
990,0.0523,31,0.4904,19,624,2,1,0,1561,0
769,0.0474,49,0.5558,11,522,0,1,0,508,0
557,0.0391,21,0.3302,16,286,6,1,0,241,0
43382,0.0455,1751,0.0695,11,133,5,1,1,5357,0
3747,0.0513,214,0.2674,16,3400,3,0,0,958,0
186,0.0494,5,0.4774,18,498,2,0,0,154,0
9434,0.038,360,0.3008,19,5000,4,0,0,5053,0
82444,0.0301,3396,0.0256,18,1440,4,1,0,55045,0
11596,0.0277,229,0.4188,9,4143,0,1,0,14982,0
117,0.0527,5,0.04,17,1796,1,1,0,59,0
756,0.0421,45,0.0663,9,779,2,0,0,731,0
17684,0.0368,603,0.5596,18,365,1,0,0,23005,0
505,0.0477,20,0.6618,13,250,1,1,0,218,0
4019,0.0305,115,-0.0747,20,2037,2,1,0,9731,1
7290,0.0646,480,0.495,23,866,3,1,0,7084,0
340,0.0692,26,0.0677,11,1232,1,0,0,176,0
1624,0.0426,90,0.2314,9,1502,2,1,0,3009,1
50,0.067,3,-0.394,15,949,1,1,0,47,0
286,0.0615,23,0.6799,17,414,4,1,1,112,0
1147,0.0637,75,0.7297,7,1831,1,1,1,131,0
191,0.0508,8,0.7351,9,545,2,0,0,357,1
34143,0.0492,1943,0.5458,11,728,1,1,0,139856,1
137,0.0548,9,0.0386,8,1362,0,1,0,91,0
818,0.0398,34,0.2192,20,627,1,1,0,890,0
2287,0.0563,71,-0.0398,11,108,0,1,0,2690,0
24204,0.0525,851,0.5449,18,1882,1,0,0,28130,0
136,0.0862,9,0.3519,19,2333,4,1,0,114,0
14671,0.0296,340,0.308,18,106,0,1,1,1871,0
1841,0.0569,122,0.3946,12,234,2,0,1,819,0
308,0.053,8,0.0422,20,5000,3,1,1,98,0
4153,0.0545,284,0.1111,9,838,2,0,0,10928,1
2587,0.0339,67,-0.0222,20,667,1,1,1,2074,0
613,0.0417,20,0.2167,11,434,2,1,0,910,0
2050,0.0417,87,0.1393,8,237,3,1,0,1439,0
903,0.0536,34,0.0705,16,547,1,1,0,800,0
2217,0.0428,131,0.4915,8,1762,2,1,1,704,0
5954,0.0518,180,0.6534,15,654,4,1,0,4619,0
31408,0.0488,1448,0.6185,9,1224,1,0,0,51312,0
194,0.0649,16,0.4682,19,3888,0,1,0,1034,1
84074,0.0508,4768,0.1361,17,372,7,0,0,31087,0
53,0.0682,2,0.3918,17,900,2,0,0,13,0
1375,0.0389,49,-0.0033,8,1816,1,1,1,222,0
5213,0.0594,373,0.6936,19,261,1,1,0,28444,1
2998,0.0419,185,0.2205,8,794,2,1,0,1610,0
589,0.0636,52,0.6247,20,4325,3,1,0,758,0
1243,0.0672,70,0.4755,11,473,4,0,0,1025,0
744,0.0581,64,0.2615,16,1935,3,1,0,940,0
625,0.0393,12,0.3542,21,577,2,1,0,2085,1
8343,0.0347,152,0.6766,21,4022,6,0,0,7355,0
3437,0.0607,275,0.0342,18,128,4,0,1,882,0
519,0.0533,19,0.1633,10,709,1,1,0,587,0
9129,0.0443,226,-0.0696,9,151,3,1,0,3635,0
3143,0.0554,128,0.6464,21,330,1,1,0,8091,1
7809,0.0511,369,0.174,17,328,1,1,0,8704,0
5615,0.0483,333,0.7319,15,509,3,1,0,5675,0
406,0.0539,24,0.7259,19,202,2,0,1,193,0
659,0.0509,24,0.0116,18,619,1,1,1,499,0
6940,0.0532,370,-0.0104,9,1054,2,0,1,1126,0
5424,0.0511,395,0.6015,11,143,6,1,0,8470,0
1741,0.0476,108,0.3463,16,352,1,1,0,6174,1
2233,0.06,110,-0.6168,19,5000,3,1,1,1711,0
18030,0.0395,1055,0.2225,22,924,1,1,0,11138,0
623,0.0457,34,0.2284,9,108,2,0,1,203,0
4840,0.0385,104,0.5127,18,163,0,1,0,1735,0
1256,0.0417,28,-0.1343,8,833,1,1,0,441,0
1221,0.0488,39,0.8488,7,735,2,1,0,2023,0
13066,0.0544,873,0.5181,13,369,2,0,0,6243,0
7988,0.036,196,0.8572,17,5000,2,0,0,3426,0
7819,0.046,364,0.433,8,5000,1,0,0,5630,0
18955,0.034,382,-0.5741,7,510,2,1,0,14953,0
1877,0.0472,126,0.2191,9,1592,2,1,0,2221,0
6170,0.03,156,0.323,10,1674,2,1,1,1488,0
1034,0.05,72,-0.3001,11,1911,0,0,1,95,0
3240,0.0457,214,-0.2857,9,350,3,0,0,2521,0
1430,0.0563,40,0.4482,10,4626,2,1,0,3404,1
2152,0.0515,106,-0.2654,8,621,2,1,0,1219,0
5277,0.0337,93,0.5653,10,1014,3,1,0,6646,0
414,0.0667,38,0.3305,10,666,1,1,1,309,0
78143,0.037,2947,0.4849,16,578,1,1,0,97646,0
295,0.0592,10,0.2791,10,878,2,0,1,47,0
203,0.0586,7,0.4549,9,203,3,1,0,342,0
14539,0.0365,468,-0.1177,20,92,1,0,0,12906,0
7517,0.0465,503,0.5028,21,537,3,1,0,9267,0
5560,0.0503,333,0.8347,17,275,3,0,0,4173,0
5602,0.028,214,0.4788,20,1149,1,0,0,2901,0
1768,0.0447,68,-0.3528,11,1026,1,0,0,880,0
359,0.0539,10,0.0115,18,674,2,1,1,108,0
2072,0.052,158,0.6132,21,2926,0,0,1,294,0
534,0.0668,18,0.5,9,661,3,0,0,466,0
10458,0.0353,533,0.6384,10,154,1,1,0,9498,0
1387,0.0461,55,-0.0032,10,531,3,1,0,3091,1
409,0.0508,10,-0.1136,7,2145,2,0,1,131,0
1013,0.0443,53,0.1556,11,101,1,0,1,110,0
3801,0.0436,245,0.1157,7,605,4,1,1,522,0
655,0.0618,59,0.1597,20,1182,2,1,0,1236,1
411,0.0454,12,0.74,20,5000,2,1,1,205,0
2803,0.0525,100,0.2865,20,2226,2,1,0,3919,0
2810,0.0312,93,0.3231,9,759,2,0,0,2606,0
725,0.048,39,0.7144,7,1119,3,1,1,982,0
774,0.0501,48,0.4036,9,99,4,1,0,291,0
2745,0.0651,121,0.2821,12,232,2,1,0,2974,0
133,0.0577,11,-0.2389,18,1275,2,0,0,76,0
143,0.0381,6,0.2516,8,781,4,0,0,39,0
496,0.0352,23,0.6783,9,887,2,1,0,898,1
1231,0.0519,66,0.1871,7,688,1,0,0,1123,0
3164,0.0539,155,-0.0778,18,661,1,0,1,1180,0
25735,0.0431,1639,0.08,8,737,1,1,1,10308,0
8465,0.0455,416,0.4745,11,231,2,1,0,9346,0
1355,0.0628,116,0.3875,9,529,0,1,0,3084,1
1747,0.0447,113,0.3652,20,191,0,1,1,1480,0
297,0.0662,23,0.3866,17,357,2,1,0,326,0
1748,0.0338,61,0.5912,9,2199,4,0,1,603,0
1075,0.043,23,0.0962,11,555,4,0,1,484,0
3232,0.0296,51,0.6534,21,1206,1,1,0,6426,1
407,0.0532,15,0.4457,19,746,2,1,1,142,0
4604,0.0458,144,0.2929,9,452,1,1,0,6390,0
28536,0.0401,863,0.1812,14,242,2,1,0,16443,0
1486,0.0514,61,-0.1865,19,445,2,1,1,1038,0
3725,0.0378,121,0.6918,9,798,5,1,1,932,0
6262,0.0431,248,-0.0092,22,1188,0,1,0,3463,0
878,0.0379,19,0.2209,11,751,3,1,1,343,0
2706,0.062,91,0.9406,18,1273,6,1,1,1303,0
1849,0.0469,101,0.243,17,145,2,1,1,277,0
2155,0.0444,99,0.2199,22,1582,2,0,0,1528,0
449,0.0715,30,-0.1856,21,215,3,1,1,286,0
1889,0.0374,80,-0.1479,14,1778,0,1,1,1049,0
4431,0.0352,206,-0.3397,10,1099,1,1,1,3437,0
24638,0.0286,653,-0.4041,19,102,1,1,0,33453,0
10164,0.0424,491,0.4493,8,1389,1,1,1,3808,0
87179,0.0388,4918,0.0708,9,1799,3,1,0,114060,0
454,0.0629,38,-0.5007,11,2339,2,1,1,71,0
8692,0.0694,558,0.7509,13,308,3,1,0,26026,1
2514,0.0262,75,0.7028,8,795,1,0,1,272,0
93120,0.0403,2542,0.1886,7,1332,1,0,1,8914,0
422,0.0502,22,0.5789,19,1388,5,1,0,431,0
398,0.0502,29,0.6262,10,1001,2,1,1,210,0
614,0.0481,30,0.3806,20,434,2,1,1,78,0
50,0.0552,3,0.1054,18,1786,2,1,1,14,0
701,0.0706,44,0.2568,18,1796,3,1,0,1870,1
461,0.0639,44,0.0459,19,570,5,1,1,175,0
2370,0.0491,125,-0.0364,17,303,3,1,0,1207,0
3344,0.061,110,0.4516,12,321,0,0,0,1093,0
52950,0.0214,1229,0.514,9,2604,2,1,1,8529,0
10004,0.0298,231,0.3864,21,1721,1,1,0,13590,0
640,0.0324,11,-0.169,9,651,3,1,1,155,0
358,0.0495,23,-0.1273,17,545,2,1,0,149,0
4382,0.0481,163,0.7484,16,113,0,0,0,5400,0
167,0.0605,13,-0.4477,17,611,2,1,0,233,0
48855,0.0383,1475,0.2715,18,202,1,0,0,70058,0
15108,0.0274,287,0.0425,8,779,2,1,0,15289,0
777,0.0614,70,0.3211,10,2176,0,0,0,526,0
82,0.0647,4,0.5894,8,249,1,1,1,16,0
20680,0.0476,1083,0.5115,18,844,1,1,0,59034,1
1471,0.0319,52,0.5793,19,1804,1,0,1,284,0
16782,0.0442,786,0.3942,19,829,0,0,0,12621,0
102,0.0496,7,0.409,11,393,3,0,0,165,0
614,0.0503,36,0.524,17,672,2,1,0,1528,1
1825,0.0553,91,0.5955,16,1732,2,0,0,1913,0
1967,0.0506,135,0.2791,16,864,3,1,0,2234,0
804,0.0447,24,0.6147,10,662,2,1,0,677,0
5547,0.0456,264,0.5632,9,2113,3,1,0,24250,1
264,0.0424,16,-0.1781,17,1113,1,1,0,191,0
1399,0.0625,98,-0.0463,10,199,1,1,1,522,0
2245,0.0471,139,0.4551,11,1250,2,1,0,6071,1
4564,0.0575,302,0.6802,19,1719,3,1,1,2981,0
6508,0.0396,345,0.0873,18,192,0,1,0,7661,0
238,0.0529,18,0.208,13,68,2,0,0,246,0
114,0.0534,4,0.4383,11,234,1,1,0,86,0
18030,0.0496,598,-0.4872,17,600,1,1,0,9904,0
3288,0.0405,131,0.3713,8,1825,1,1,1,494,0
469,0.0618,34,-0.015,9,272,3,1,1,452,0
29497,0.035,750,0.3104,11,1158,1,0,1,10122,0
2226,0.0294,32,-0.3366,11,36,1,1,1,1378,0
15104,0.0358,455,-0.0966,16,796,1,1,1,4337,0
2041,0.0377,113,0.4084,18,442,2,0,1,190,0
73817,0.0355,3131,0.1519,7,5000,0,0,0,17702,0
42600,0.0255,977,0.0348,9,100,2,0,0,24193,0
1155,0.061,48,0.2803,11,655,5,0,1,891,0
10392,0.0421,374,0.433,8,99,1,0,0,4261,0
5777,0.0436,168,0.2971,8,383,2,0,0,4300,0
21237,0.0467,601,-0.0763,18,121,4,1,0,48706,1
318,0.0666,29,-0.2132,20,5000,0,0,0,303,0
6216,0.0449,417,0.511,17,466,4,1,0,5353,0
12150,0.0347,279,0.2628,10,538,2,0,0,18008,0
76,0.0449,1,0.4006,18,637,2,1,0,139,1
214,0.0517,9,0.052,22,214,0,1,1,103,0
50,0.0581,2,-0.1268,17,1910,1,1,0,122,1
1113,0.053,41,-0.0317,9,1261,3,0,1,384,0
6578,0.0414,218,0.5333,7,1665,3,1,0,13022,1
27017,0.0461,872,-0.116,18,196,2,0,1,6629,0
2066,0.0433,114,0.4001,9,2070,0,1,0,8127,1
33911,0.0377,1550,0.2642,18,1844,4,1,0,23233,0
150,0.0718,12,-0.2967,18,527,1,1,1,43,0
84,0.0656,4,0.1583,8,1627,4,1,0,60,0
1636,0.0498,114,0.512,15,873,2,1,0,1252,0
3609,0.0412,218,0.2462,11,135,0,1,0,5144,0
1704,0.0439,50,-0.2794,8,554,2,1,0,964,0
50,0.0558,2,0.688,7,410,3,0,1,10,0
1540,0.0452,71,0.1188,18,724,0,1,1,286,0
172,0.0669,6,-0.5104,17,1846,3,0,0,159,0
6035,0.043,242,0.5261,17,128,2,1,1,2737,0
3497,0.0339,128,0.2227,8,426,2,0,1,157,0
333,0.0744,25,0.1639,15,292,1,0,0,168,0
716,0.0569,33,0.2137,9,305,5,0,0,1817,1
268,0.0436,12,0.4649,23,292,2,1,0,201,0
1615,0.046,108,0.6878,10,712,0,0,0,946,0
10089,0.0442,315,0.0379,18,1122,4,1,0,12196,0
306,0.0741,26,0.1395,9,942,2,0,0,837,1
4479,0.0353,85,-0.1582,9,800,6,0,0,3145,0
696,0.0636,25,0.7852,17,1238,2,0,0,525,0
433,0.0697,31,0.3112,17,5000,2,1,0,303,0
1491,0.0445,40,0.0916,20,761,4,1,0,1672,0
280,0.0547,7,0.1048,17,1846,0,1,0,348,0
667,0.0436,19,-0.097,10,1744,2,0,1,91,0
209,0.0566,12,0.7103,9,3935,1,1,0,443,1
62100,0.0355,2651,0.2398,8,1165,1,1,0,26673,0
1926,0.0563,76,0.0374,11,285,1,1,1,1384,0
513,0.0659,39,0.6007,20,902,4,1,0,1489,1
2657,0.041,74,0.0769,9,855,3,1,0,3239,0
1477,0.0311,51,0.4425,9,1502,1,0,0,1281,0
1214,0.0514,56,-0.0733,19,277,1,1,1,509,0
5461,0.0485,305,0.2072,17,2359,3,1,0,2782,0
7069,0.047,497,0.2253,8,668,2,1,0,3226,0
